movie_id,genre
0111161,Drama
0068646,Crime
0068646,Drama
0468569,Action
0468569,Crime
0468569,Drama
0071562,Crime
0071562,Drama
0050083,Crime
0050083,Drama
0108052,Biography
0108052,Drama
0108052,History
0167260,Action
0167260,Adventure
0167260,Drama
0110912,Crime
0110912,Drama
0120737,Action
0120737,Adventure
0120737,Drama
0060196,Adventure
0060196,Western
0109830,Drama
0109830,Romance
0137523,Drama
0167261,Action
0167261,Adventure
0167261,Drama
1375666,Action
1375666,Adventure
1375666,Sci-Fi
0080684,Action
0080684,Adventure
0080684,Fantasy
0133093,Action
0133093,Sci-Fi
0099685,Biography
0099685,Crime
0099685,Drama
0073486,Drama
0114369,Crime
0114369,Drama
0114369,Mystery
0038650,Drama
0038650,Family
0038650,Fantasy
0047478,Action
0047478,Drama
0102926,Crime
0102926,Drama
0102926,Thriller
0120815,Drama
0120815,War
0317248,Crime
0317248,Drama
0816692,Adventure
0816692,Drama
0816692,Sci-Fi
